entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Bolivia,BOL,2019,14.11317024,15.94216929,11513102,,60,61,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.064,0.137,2019
Bosnia and Herzegovina,BIH,2015,10.79932511,12.14315091,3429362,Europe,95,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2015
Bosnia and Herzegovina,BIH,2016,10.78341451,12.11804759,3386263,,86,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2016
Bosnia and Herzegovina,BIH,2017,10.77150358,12.10155223,3351534,,89,90,Bosnia and Herzegovina,Central and Eastern Europe,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0,0.328867495,2017
Bosnia and Herzegovina,BIH,2018,10.76161074,12.11721739,3323929,,92,93,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0,0.216,2018
Bosnia and Herzegovina,BIH,2019,10.74975695,12.15666927,3300998,,77,78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.006,0.263,2019
Botswana,BWA,2015,11.49006983,12.10191885,2120716,Africa,127,128,Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,2015
Botswana,BWA,2016,11.49121714,12.12938461,2159925,,136,137,Botswana,Sub-Saharan Africa,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,2016
Botswana,BWA,2017,11.49463762,12.14910516,2205076,,141,142,Botswana,Sub-Saharan Africa,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448,2017
Botswana,BWA,2018,11.50383528,12.14346165,2254067,,145,146,Botswana,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.092,0.042,2018
