entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Bhutan,BTN,2017,11.99483739,12.11781226,745563,,96,97,Bhutan,Southern Asia,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545,2017
Bhutan,BTN,2018,11.98338108,12.13504088,754396,,96,97,Bhutan,Southern Asia,5.082,0.796,1.335,0.527,0.541,0.171,0.364,2018
Bhutan,BTN,2019,11.99385712,12.17926615,763094,,94,95,Bhutan,Southern Asia,5.082,0.813,1.321,0.604,0.457,0.167,0.37,2019
Bolivia,BOL,2015,14.16866809,15.97618758,10869732,South America,50,51,Bolivia,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2015
Bolivia,BOL,2016,14.16881289,15.96456806,11031822,,58,59,Bolivia,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2016
Bolivia,BOL,2017,14.17056706,15.95315663,11192853,,57,58,Bolivia,Latin America and Caribbean,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,2017
Bolivia,BOL,2018,14.14841898,15.9467175,11353140,,61,62,Bolivia,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2018
Bolivia,BOL,2019,14.11317024,15.94216929,11513102,,60,61,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.064,0.137,2019
Bolivia,BOL,2020,,,11673029,,64,65,Bolivia,Latin America and Caribbean,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.072942637,0.138375074,2020
Bolivia,BOL,2021,,,11832936,,68,69,Bolivia,Latin America and Caribbean,5.716,0.842,0.782,0.486,0.6,0.064,0.138,2021
Bosnia and Herzegovina,BIH,2015,10.79932511,12.14315091,3429362,Europe,95,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2015
